"Philip Rivers, SD QB",351
"Alfred Morris, Wsh RB",463
"Zac Stacy, StL RB P",448
"Jordy Nelson, GB WR",294
"Josh Gordon, Cle WR D",378
"Jimmy Graham, NO TE",344
"Le'Veon Bell, Pit RB P",454
"Vontaze Burfict, Cin LB",234.5
"J.J. Watt, Hou DE",181
"Morgan Burnett, GB S P",124
"Justin Tucker, Bal K",159
Eagles Coach HC,44
"Tony Romo, Dal QB P",313.5
"Julius Thomas, Den TE P",224
"Reshad Jones, Mia S SSPD",147
"Fred Jackson, Buf RB",436
Bengals Coach HC,49
"Marques Colston, NO WR",205
"James Laurinaitis, StL LB P",174.5
"Kendall Wright, Ten WR",219
"Doug Martin, TB RB",200
"Randall Cobb, GB WR",123
