"Colin Kaepernick, SF QB",368.5
"Stevan Ridley, NE RB",301
"Roy Helu, Wsh RB P",160.5
"Pierre Garcon, Wsh WR P",306
"T.Y. Hilton, Ind WR",265
"Martellus Bennett, Chi TE P",162
"Tavon Austin, StL WR",206
"D'Qwell Jackson, Ind LB",171
"Muhammad Wilkerson, NYJ DE",134
"Troy Polamalu, Pit S",123.5
"Shaun Suisham, Pit K",143.5
Chiefs Coach HC,58
"LeSean McCoy, Phi RB",683
"Mike Wallace, Mia WR",223
"Russell Wilson, Sea QB",391
"Michael Johnson, TB DE",93.5
"Kiko Alonso*, Buf LB O",208
"Earl Thomas, Sea S",142.5
"Jordan Reed, Wsh TE",116
Redskins Coach HC,7
"Arian Foster, Hou RB P",234
