"Tom Brady, NE QB",286.5
"DeMarco Murray, Dal RB",475
"Dez Bryant, Dal WR",315.5
"Michael Crabtree, SF WR P",56
"Jason Witten, Dal TE",217
"Shane Vereen, NE RB",187
"Daryl Smith, Bal LB P",189
"Robert Quinn, StL DE",192.5
"Barry Church, Dal S P",181
"Phil Dawson, SF K",154
"Roddy White, Atl WR",155
"Wes Welker, Den WR",210
"Jared Allen, Chi DE P",127
"Da'Norris Searcy, Buf S P",119.5
"Heath Miller, Pit TE",114
"A.J. Hawk, GB LB",172
"Robert Griffin III, Wsh QB",294
"C.J. Spiller, Buf RB",368
"Matt Forte, Chi RB",653
"Reggie Wayne, Ind WR P",105
"Danario Alexander, SD WR Q",0
