"Matt Ryan, Atl QB",279
"Marshawn Lynch, Sea RB",580
"Jamaal Charles, KC RB",660
"Torrey Smith, Bal WR",208
"Dwayne Bowe, KC WR",148
"Greg Olsen, Car TE",183
"Larry Fitzgerald, Ari WR",251
"Patrick Willis, SF LB",149
"Greg Hardy, Car DE",145
"Major Wright, TB S",131
"Matt Prater, Den K",169
Lions Coach HC,24
"Chris Ivory, NYJ RB P",293
"Jared Cook, StL TE",145
"Mark Barron, TB S P",125
Ravens Coach HC,21
"Osi Umenyiora, Atl DE",102.5
"Garrett Hartley, FA K",110
"Bernard Pierce, Bal RB",228
"Josh McCown, TB QB",164.5
