"Peyton Manning, Den QB",537
"Chris Johnson, NYJ RB",528
"Antonio Brown, Pit WR",381.5
"Greg Jennings, Min WR",183
"Tony Gonzalez, Atl TE",218
"Bobby Rainey, TB RB",285
"Lavonte David, TB LB",243.5
"Cameron Wake, Mia DE",89
"T.J. Ward, Den S",167
"Mason Crosby, GB K",154.5
Panthers Coach HC,57
"James Jones, Oak WR",165.5
"NaVorro Bowman*, SF LB O",234.5
Saints Coach HC,55
"Karlos Dansby, Cle LB",230.5
"Duke Ihenacho, Den S",103.5
"BenJarvus Green-Ellis, Cin RB",334
"Coby Fleener, Ind TE",140
"Calais Campbell, Ari DE",134
"Julio Jones, Atl WR P",128
