"Adrian Peterson, Min RB",544
"Giovani Bernard, Cin RB",376
"Brandon Marshall, Chi WR",328
"Percy Harvin, Sea WR",7
"Jordan Cameron, Cle TE P",218
"Reggie Bush, Det RB",477
"Andrew Luck, Ind QB",367.5
"Patrick Peterson, Ari CB",100
"Antonio Gates, SD TE",196
49ers Coach HC,62
"Andre Brown, Hou RB",237
"Dontari Poe, KC DT",87.5
"Nick Foles, Phi QB",352.5
"DeMeco Ryans, Phi LB",190.5
"Antrel Rolle, NYG S",156
"Ryan Succop, KC K",121
"Aldon Smith, SF LB",86
"Riley Cooper, Phi WR P",200
"Sheldon Richardson, NYJ DT",124
"Julian Edelman, NE WR",295
