"Ben Roethlisberger, Pit QB",302
"Frank Gore, SF RB",473
"James Starks, GB RB",178
"DeSean Jackson, Wsh WR P",312
"Alshon Jeffery, Chi WR",339
"Vernon Davis, SF TE P",228
"Danny Woodhead, SD RB",339
"Tamba Hali, KC LB",132.5
"Chandler Jones, NE DE",156
"Eric Weddle, SD S",164.5
"Steven Hauschka, Sea K",158
Patriots Coach HC,42
"Maurice Jones-Drew, Oak RB",417
"Mario Williams, Buf DE P",114
"David Akers, Det K",103.5
"Clay Matthews, GB LB",88.5
"Robert Mathis, Ind LB SSPD",176.5
"Vincent Jackson, TB WR",265
"Anquan Boldin, SF WR",257
"Brandon Pettigrew, Det TE",89
"Aaron Rodgers, GB QB",219.5
