"Cam Newton, Car QB P",420.5
"Trent Richardson, Ind RB",322
"Pierre Thomas, NO RB",346
"Calvin Johnson, Det WR",352
"Danny Amendola, NE WR",141
"Scott Chandler, Buf TE P",123
"Rashad Jennings, NYG RB",346.5
"Luke Kuechly, Car LB",206.5
"Elvis Dumervil, Bal LB",82
"Eric Berry, KC S",145
"Robbie Gould, Chi K",131.5
Seahawks Coach HC,72
"DeMarcus Ware, Den DE P",84
"Kenbrell Thompkins, NE WR",103
"Ndamukong Suh, Det DT",96.5
"Joique Bell, Det RB P",376
"Terrell Suggs, Bal LB",139.5
"Delanie Walker, Ten TE P",149
Rams Coach HC,41
"Michael Floyd, Ari WR P",209
"Charles Tillman, Chi CB",65.5
"Jay Cutler, Chi QB",204.5
