"Andy Dalton, Cin QB",386
"Ray Rice, Bal RB SSPD",384
"Eddie Lacy, GB RB",539
"Demaryius Thomas, Den WR",354
"Andre Johnson, Hou WR P",318
"Charles Clay, Mia TE P",196.5
"Montee Ball, Den RB Q",231
"Chad Greenway, Min LB",176.5
"Rob Ninkovich, NE DE",142.5
"Antoine Bethea, SF S",145
"Stephen Gostkowski, NE K",176.5
Broncos Coach HC,77
"Matthew Stafford, Det QB",347
"Derrick Johnson, KC LB",177.5
"Eric Decker, NYJ WR P",305
"Kyle Williams, Buf DT",135
"Ben Tate, Cle RB",322
"Quintin Demps, NYG S",154.5
"Olivier Vernon, Mia DE",126
"Cordarrelle Patterson, Min WR",311
"Rob Gronkowski, NE TE P",135
"Sam Bradford, StL QB",142.5
