"Harrison Smith, Min S",183.5
"T.J. Ward, Den S",167
"Eric Weddle, SD S",166.5
"Kam Chancellor, Sea S P",165.5
"Johnathan Cyprien, Jac S P",165
"Morgan Burnett, GB S P",164
"Mark Barron, TB S P",164
"LaRon Landry, Ind S P",158.5
"Eric Berry, KC S",156
"Tyvon Branch, Oak S",153.5
"Barry Church, Dal S P",152.5
"Antrel Rolle, NYG S",152
"Mike Mitchell, Pit S",151
"Reshad Jones, Mia S SSPD",150
"Tyrann Mathieu*, Ari CB O",146
"James Ihedigbo, Det S",143.5
"Earl Thomas, Sea S",142.5
"Charles Woodson, Oak S",141
"Roman Harper, Car S",140.5
"Bernard Pollard, Ten S",140.5
