"Adrian Peterson, Min RB",250
"Jamaal Charles, KC RB P",244
"LeSean McCoy, Phi RB P",242
"Matt Forte, Chi RB",235
"Marshawn Lynch, Sea RB",229
"Eddie Lacy, GB RB",214
"Doug Martin, TB RB",200
"Le'Veon Bell, Pit RB",192
"DeMarco Murray, Dal RB",190
"Arian Foster, Hou RB",183
"Alfred Morris, Wsh RB",182
"Zac Stacy, StL RB",182
"Montee Ball, Den RB P",179
"Giovani Bernard, Cin RB",177
"Reggie Bush, Det RB",175
"Trent Richardson, Ind RB",170
"Frank Gore, SF RB",169
"Ben Tate, Cle RB",169
"C.J. Spiller, Buf RB",165
"Andre Ellington, Ari RB",165
"Ryan Mathews, SD RB",163
"Ray Rice, Bal RB SSPD",161
"Joique Bell, Det RB",160
"Chris Johnson, NYJ RB",157
"Stevan Ridley, NE RB",156
"Rashad Jennings, NYG RB",155
"Toby Gerhart, Jac RB",150
"Steven Jackson, Atl RB P",149
"Shane Vereen, NE RB",145
"Knowshon Moreno, Mia RB",129
"Bishop Sankey, Ten RB",125
"Danny Woodhead, SD RB",123
"DeAngelo Williams, Car RB",122
"Maurice Jones-Drew, Oak RB",119
"Pierre Thomas, NO RB",118
"Fred Jackson, Buf RB",110
"Darren Sproles, Phi RB",96
"Khiry Robinson, NO RB",96
"Jeremy Hill, Cin RB",92
"Chris Ivory, NYJ RB",91
"Terrance West, Cle RB",87
"Shonn Greene, Ten RB P",83
