"Jimmy Graham, NO TE",189
"Julius Thomas, Den TE",164
"Rob Gronkowski, NE TE Q",140
"Vernon Davis, SF TE",131
"Jordan Cameron, Cle TE P",129
"Dennis Pitta, Bal TE",128
"Jason Witten, Dal TE",123
"Greg Olsen, Car TE P",114
"Kyle Rudolph, Min TE",105
"Martellus Bennett, Chi TE",103
"Jordan Reed, Wsh TE P",102
"Zach Ertz, Phi TE",88
"Delanie Walker, Ten TE",87
"Charles Clay, Mia TE P",85
"Antonio Gates, SD TE",84
"Ladarius Green, SD TE",82
"Heath Miller, Pit TE",75
"Coby Fleener, Ind TE",73
"Jared Cook, StL TE",71
"Eric Ebron, Det TE",71
"Tyler Eifert, Cin TE P",68
"Tim Wright, NE TE",68
"Garrett Graham, Hou TE",66
"Travis Kelce, KC TE",62
