"Luke Kuechly, Car LB",231
"Lavonte David, TB LB",219
"Paul Posluszny, Jac LB",217
"Vontaze Burfict, Cin LB",213.5
"Bobby Wagner, Sea LB P",196
"Chad Greenway, Min LB",195
"Brian Cushing*, Hou LB O",194.5
"Karlos Dansby, Cle LB",194
"Lawrence Timmons, Pit LB",193.5
"Patrick Willis, SF LB",191.5
"Paul Worrilow, Atl LB",191.5
"Alec Ogletree, StL LB",189.5
"Daryl Smith, Bal LB P",187.5
"Jerrell Freeman, Ind LB",187.5
"Donald Butler, SD LB",187
"Derrick Johnson, KC LB",185.5
"D'Qwell Jackson, Ind LB",185.5
"Wesley Woodyard, Ten LB",185.5
"Jerod Mayo, NE LB P",183
"Nick Roach, Oak LB",182.5
