"Peyton Manning, Den QB",476
"Aaron Rodgers, GB QB",456
"Cam Newton, Car QB P",429
"Drew Brees, NO QB P",415
"Robert Griffin III, Wsh QB",411
"Russell Wilson, Sea QB",397
"Colin Kaepernick, SF QB",394
"Nick Foles, Phi QB",383
"Andrew Luck, Ind QB",369
"Matthew Stafford, Det QB",357
"Philip Rivers, SD QB",325
"Andy Dalton, Cin QB",325
"Tony Romo, Dal QB P",321
"Matt Ryan, Atl QB",321
"Tom Brady, NE QB",315
"Jay Cutler, Chi QB",315
"Ben Roethlisberger, Pit QB",294
"Alex Smith, KC QB",294
"Ryan Tannehill, Mia QB",286
"EJ Manuel, Buf QB",278
