"Calvin Johnson, Det WR",330
"Demaryius Thomas, Den WR",309
"Dez Bryant, Dal WR",300
"Antonio Brown, Pit WR",296
"Brandon Marshall, Chi WR",290
"A.J. Green, Cin WR",289
"Julio Jones, Atl WR P",288
"Andre Johnson, Hou WR",278
"Alshon Jeffery, Chi WR",273
"Jordy Nelson, GB WR",270
"Randall Cobb, GB WR",270
"Vincent Jackson, TB WR",245
"Pierre Garcon, Wsh WR",243
"Larry Fitzgerald, Ari WR",242
"Keenan Allen, SD WR",235
"Julian Edelman, NE WR",232
"Reggie Wayne, Ind WR P",228
"Victor Cruz, NYG WR",224
"Golden Tate, Det WR",223
"Michael Crabtree, SF WR",221
"Roddy White, Atl WR",220
"Kendall Wright, Ten WR",218
"Emmanuel Sanders, Den WR",217
"T.Y. Hilton, Ind WR",214
"DeSean Jackson, Wsh WR",212
"Cordarrelle Patterson, Min WR",210
"Mike Wallace, Mia WR",207
"Michael Floyd, Ari WR P",205
"Percy Harvin, Sea WR",204
"Torrey Smith, Bal WR",203
"Marques Colston, NO WR",197
"Eric Decker, NYJ WR",192
"Sammy Watkins, Buf WR P",192
"Anquan Boldin, SF WR",190
"Jeremy Maclin, Phi WR",190
"Terrance Williams, Dal WR",184
"DeAndre Hopkins, Hou WR",183
"Cecil Shorts, Jac WR P",181
"Wes Welker, Den WR Q",175
"Greg Jennings, Min WR",165
"Danny Amendola, NE WR",163
"Riley Cooper, Phi WR",161
"Dwayne Bowe, KC WR SSPD",160
"James Jones, Oak WR",155
"Mike Evans, TB WR",155
"Steve Smith, Bal WR",151
"Markus Wheaton, Pit WR",150
"Brian Hartline, Mia WR",147
"Hakeem Nicks, Ind WR",147
"Jerricho Cotchery, Car WR",146
"Andrew Hawkins, Cle WR",146
"Jarrett Boykin, GB WR",142
"Mike Williams, Buf WR",139
"Justin Hunter, Ten WR",139
"Rueben Randle, NYG WR",138
"Kelvin Benjamin, Car WR",136
