"Jimmy Graham, NO TE",273
"Julius Thomas, Den TE P",236
"Vernon Davis, SF TE P",212
"Jordan Cameron, Cle TE P",203
"Jason Witten, Dal TE",197
"Rob Gronkowski, NE TE P",195
"Greg Olsen, Car TE",184
"Dennis Pitta, Bal TE",174
"Martellus Bennett, Chi TE P",166
"Jordan Reed, Wsh TE",163
"Kyle Rudolph, Min TE",161
"Charles Clay, Mia TE P",156
"Delanie Walker, Ten TE P",142
"Antonio Gates, SD TE",138
"Zach Ertz, Phi TE",138
"Heath Miller, Pit TE",136
"Ladarius Green, SD TE",120
"Jared Cook, StL TE",118
"Tyler Eifert, Cin TE",113
"Coby Fleener, Ind TE",110
