"Calvin Johnson, Det WR",330
"Demaryius Thomas, Den WR",309
"Antonio Brown, Pit WR",304
"Dez Bryant, Dal WR",301
"Brandon Marshall, Chi WR",290
"Julio Jones, Atl WR P",289
"A.J. Green, Cin WR",289
"Alshon Jeffery, Chi WR",287
"Randall Cobb, GB WR",280
"Andre Johnson, Hou WR P",278
"Jordy Nelson, GB WR",270
"Vincent Jackson, TB WR",246
"Pierre Garcon, Wsh WR P",245
"Larry Fitzgerald, Ari WR",244
"Julian Edelman, NE WR",236
"Keenan Allen, SD WR",235
"Golden Tate, Det WR",229
"Cordarrelle Patterson, Min WR",225
"Victor Cruz, NYG WR",224
"Reggie Wayne, Ind WR P",222
"Michael Crabtree, SF WR P",222
"Percy Harvin, Sea WR",221
"Roddy White, Atl WR",220
"Kendall Wright, Ten WR",219
"T.Y. Hilton, Ind WR",218
"DeSean Jackson, Wsh WR P",216
"Mike Wallace, Mia WR",211
"Wes Welker, Den WR",209
"Torrey Smith, Bal WR",205
"Michael Floyd, Ari WR",205
"Eric Decker, NYJ WR P",204
"Emmanuel Sanders, Den WR P",204
"Sammy Watkins, Buf WR",199
"Marques Colston, NO WR",197
"Anquan Boldin, SF WR",192
"Jeremy Maclin, Phi WR",190
"Terrance Williams, Dal WR",188
"DeAndre Hopkins, Hou WR",183
"Cecil Shorts, Jac WR Q",181
"Greg Jennings, Min WR",180
